cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"31184","6503","828473","","CITIZENS SAVINGS BANK","Clarks Summit","PA","18411","3/31/2022","8/22/2022","SA","500 S. State St.","","7","0","0","5","0","Lackawanna","42540","Scranton-Wilkes-Barre-Hazleton, PA","1/1/1902","2/20/1961","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","citizens-savings.com","81476","3574","3576","1351","606","847","591","0","0","0","0","11512","43859","15560","0","3"
"11761","15347","730745","1204355","CITIZENS SAVINGS BANK","Hawkeye","IA","52147","3/31/2022","8/22/2022","NM","133 E. Main St.","FAYETTE BCORP","1","0","0","2","1","Fayette","","","6/27/1927","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://WWW.CSBHAWKEYE.COM","21513","0","0","0","0","0","0","0","0","245","4151","2220","3597","10963","337","4396"
"12128","0","544447","","CITIZENS SAVINGS BANK","Spillville","IA","52168","3/31/2022","8/22/2022","NM","101 Church St","","3","0","0","2","0","Winneshiek","","","1/1/1908","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.bankingwithcsb.com","71702","0","0","0","0","0","0","0","0","301","300","1029","7539","16537","45996","602"
"10319","0","55635","3602227","CITIZENS SAVINGS BANK AND TRUST COMPANY","Nashville","TN","37208","3/31/2022","8/22/2022","NM","2013 Jefferson St","CSB&T BCORP INC","3","0","0","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","1/4/1904","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.bankcbn.com","9644","0","0","0","0","1774","1230","0","0","0","0","3388","2793","459","0","0"
"12303","0","625065","5589836","CITIZENS STATE BANK","Woodville","TX","75979","3/31/2022","8/22/2022","NM","102 W. Bluff St.","GRAHAMJB6 CO","7","0","0","7","0","Tyler","","","5/8/1920","1/1/1934","5/31/2016","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.citizensbank.net","78073","0","0","25","108","22889","42306","1551","5613","1999","995","584","137","1866","0","2994"
"5495","15794","482053","1056415","CITIZENS STATE BANK","Wisner","NE","68791","3/31/2022","8/22/2022","SM","921 Ave. E","CITIZENS NATIONAL CORP","16","0","0","2","1","Cuming","","","10/19/1888","1/1/1934","1/1/2022","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","https://www.citstatebank.com","107544","464","0","0","28","2435","14643","86","462","3989","5704","3326","2883","17907","55617","6220"
"22523","0","139834","1142318","CITIZENS STATE BANK","Vernon","AL","35592","3/31/2022","8/22/2022","NM","315 Columbus Ave. Nw","CITIZENS S BANCSHARES INC","2","0","0","7","1","Lamar","","","9/9/1977","9/9/1977","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","45759","1146","1","0","107","3013","10044","0","0","466","1233","2069","4963","17852","4865","1233"
"2467","11635","149150","3559862","CITIZENS STATE BANK","Cadott","WI","54727","3/31/2022","8/22/2022","NM","304 N Main St","CITIZENS BCORP INC","6","0","0","4","0","Chippewa","20740","Eau Claire, WI","8/20/1902","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.csbankcadott.com","45695","0","0","0","96","18000","5089","1918","1739","380","367","2208","11043","4855","0","747"
"6194","16055","867856","1129065","CITIZENS STATE BANK","Hudson","WI","54016","3/31/2022","8/22/2022","NM","375 Stageline Rd","CITIZENS BANCSHARES WOODVILLE","5","0","0","4","0","Saint Croix","33460","Minneapolis-St. Paul-Bloomington, MN-WI","7/15/1904","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.csbnet.net","49022","329","580","12","78","69","958","910","2879","11921","1008","5908","6960","13067","4343","1042"
"16753","0","261360","2100089","CITIZENS STATE BANK","Somerville","TX","77879","3/31/2022","8/22/2022","NM","155 Eighth St.","C S B BANCSHARES INC","7","0","0","4","0","Burleson","17780","College Station-Bryan, TX","6/1/1925","12/2/1948","12/3/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.csbtx.bank","250678","0","0","2675","1829","45111","0","7429","0","5876","31577","60127","31244","62974","1836","37453"
