cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scage,idscas,scaot,scspn,scfmn,scgnm,sccol,SCCPTG,SCCMOG
"4748","53500","458553","1055717","THE FARMERS BANK OF OSBORNE","Osborne","KS","67473","12/31/2013","8/25/2021","NM","First &main St.","OSBORNE INVESTMENTS INC","3","0","0","2","1","Osborne","","","4/1/1901","1/1/1934","4/25/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","1906","1301","0","1301","605","0","0","0","0"
"5885","0","105026","","THE FARMERS BANK OF WILLARDS","Willards","MD","21874","12/31/2013","8/25/2021","NM","7484 Market St.","","8","0","0","4","0","Wicomico","41540","Salisbury, MD-DE","1/3/1925","1/1/1934","7/17/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.fbwbank.com","2817","1641","431","1210","242","306","628","0","0"
"12828","8909","423449","1209538","THE FARMERS BANK, FRANKFORT, INDIANA","Frankfort","IN","46041","12/31/2013","8/25/2021","NM","9 E. Clinton St.","FARMERS BCORP FRANKFORT IN THE","10","0","0","4","0","Clinton","","","1/1/1876","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.thefarmersbank.com","84540","34073","0","34073","12888","60","37519","0","0"
"2850","0","307062","2142306","THE FARMERS NATIONAL BANK OF BUHL","Buhl","ID","83316","12/31/2013","8/25/2021","N","914 Main St.","FARMERS BCORP INC","6","0","0","2","0","Twin Falls","46300","Twin Falls, ID","5/11/1917","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","Western","0","1","www.farmersbankidaho.com","171794","171794","0","171794","0","0","0","0","0"
"6540","13123","680813","1071191","THE FARMERS NATIONAL BANK OF CANFIELD","Canfield","OH","44406","12/31/2013","8/25/2021","N","20 S. Broad St.","FARMERS NATIONAL BANC CORP","18","0","0","4","0","Mahoning","49660","Youngstown-Warren-Boardman, OH-PA","2/17/1887","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.farmersbankgroup.com","324132","72486","23573","48913","211122","7644","28676","4204","0"
"2740","11804","785147","1119244","THE FARMERS NATIONAL BANK OF DANVILLE","Danville","KY","40422","12/31/2013","8/25/2021","N","304 W. Main St.","BOYLE BCORP INC","13","0","0","8","0","Boyle","","","2/10/1879","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","1","www.fnbky.com","73886","23479","2877","20602","21669","10337","18401","0","0"
"7875","11211","119528","1480944","THE FARMERS NATIONAL BANK OF EMLENTON","Emlenton","PA","16373","12/31/2013","8/25/2021","N","612 Main St.","EMCLAIRE FINANCIAL CORP","14","0","0","4","0","Venango","","","1/1/1900","1/1/1934","10/17/2008","Stock","0","0","OCC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.farmersnb.bank","73975","22891","0","22891","11360","0","39724","0","0"
"2754","13581","575348","1098451","THE FARMERS NATIONAL BANK OF LEBANON","Lebanon","KY","40033","12/31/2013","8/25/2021","N","136 W. Main St.","LEBANON BANCSHARES INC","2","0","0","8","0","Marion","","","4/1/1890","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.farmersnational.bank","24758","13695","2068","11627","9626","25","1412","0","0"
"3732","12238","933041","2198563","THE FARMERS NATIONAL BANK OF PROPHETSTOWN","Prophetstown","IL","61277","12/31/2013","8/25/2021","N","114 W. 3rd St.","PROPHETSTOWN BANKING CO","3","0","0","2","0","Whiteside","","","7/1/1902","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.farmersnationalbank.bank","50404","10947","0","10947","23812","938","14707","0","0"
"2769","11192","183846","1248144","THE FARMERS NATIONAL BANK OF SCOTTSVILLE","Scottsville","KY","42164","12/31/2013","8/25/2021","N","1595 Veterans Memorial Hwy","FNB FINANCIAL CORP","5","0","0","4","0","Allen","14540","Bowling Green, KY","11/3/1923","1/1/1934","7/25/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","24565","24553","0","24553","1","0","0","11","0"
