date,MOM
20130814,-0.3
20130815,-0.89
20130816,0.42
20130819,-0.17
20130820,0.48
20130821,0.25
20130822,0.36
20130823,-0.3
20130826,0.1
20130827,-0.98
20130828,0.31
20130829,0.76
20130830,-0.44
20130903,0.97
20130904,0.47
20130905,0.08
20130906,-0.22
20130909,-0.01
20130910,0.72
20130911,-0.04
20130912,0.05
20130913,-0.03
20130916,0.26
20130917,0.07
20130918,-0.56
20130919,0.09
20130920,0.33
20130923,-0.55
20130924,0.58
20130925,0.19
20130926,0.38
20130927,0.35
20130930,0.2
20131001,0.47
20131002,-0.14
20131003,-0.11
20131004,0.53
20131007,-0.77
20131008,-1.1
20131009,-0.23
20131010,1.19
20131011,0.24
20131014,0.26
20131015,0.07
20131016,0.61
20131017,0.21
20131018,0.31
20131021,-0.15
20131022,-0.38
20131023,-0.53
20131024,0.16
20131025,-0.25
20131028,-0.57
20131029,0.25
20131030,-0.41
20131031,0.38
20131101,-0.07
20131104,0.05
20131105,0.62
20131106,-1.31
20131107,-1.15
20131108,1.3
20131111,0.23
20131112,-0.09
20131113,0.64
20131114,-0.09
20131115,-0.06
20131118,-0.92
20131119,-0.49
20131120,0.09
20131121,0.91
20131122,0.48
20131125,-0.38
20131126,0.64
20131127,-0.19
20131129,-0.21
20131202,0.24
20131203,-0.61
20131204,0.07
20131205,0.3
20131206,0.24
20131209,-0.26
20131210,0.14
20131211,-0.46
20131212,0.59
20131213,0.42
20131216,0.04
20131217,-0.12
20131218,0.15
20131219,-0.13
20131220,0.39
20131223,-0.12
20131224,-0.19
20131226,0.2
20131227,-0.84
20131230,-0.06
20131231,0.04
20140102,-0.04
20140103,0.24
20140106,-0.11
20140107,0.51
20140108,0.61
20140109,0.78
20140110,-0.15
20140113,-0.54
20140114,0.56
20140115,-0.31
20140116,-0.05
20140117,-0.01
20140121,-0.04
20140122,0.3
20140123,-0.54
20140124,-1.01
20140127,-0.57
20140128,0.82
20140129,-0.53
20140130,1.25
20140131,0.1
20140203,-0.86
20140204,0.45
20140205,-0.09
20140206,0.17
20140207,0.58
20140210,-0.1
20140211,0.07
20140212,0.27
20140213,0.38
20140214,-0.33
20140218,0.7
20140219,-0.34
20140220,0.49
20140221,0.23
20140224,0.39
20140225,0.11
20140226,-0.1
20140227,0.04
20140228,-0.24
20140303,-0.06
20140304,0.8
20140305,0.35
20140306,-0.5
20140307,-0.25
20140310,0
20140311,-0.08
20140312,-0.05
20140313,-0.33
20140314,-0.15
20140317,0.24
20140318,0.49
20140319,-0.11
20140320,-0.16
20140321,-1.1
20140324,-1.01
20140325,-0.25
20140326,-0.84
20140327,-0.45
20140328,-0.47
20140331,0.72
20140401,0.98
20140402,-0.1
20140403,-1.06
20140404,-1.66
20140407,-1.04
20140408,-0.14
20140409,1.38
20140410,-1.85
20140411,-0.52
20140414,-0.16
20140415,0
20140416,0.91
20140417,0.38
20140421,0.18
20140422,0.72
20140423,-0.27
20140424,-0.5
20140425,-1.27
20140428,-1.18
20140429,0.7
20140430,0.52
20140501,0.07
20140502,0.13
20140505,0.41
20140506,-0.43
20140507,-0.18
20140508,-0.63
20140509,-0.17
20140512,0.85
20140513,-0.14
20140514,-0.44
20140515,-0.3
20140516,-0.19
20140519,0.71
20140520,0.08
20140521,0.4
20140522,0.04
20140523,0.41
20140527,0.5
20140528,0.2
20140529,0.28
20140530,-0.01
20140602,0.2
20140603,0.18
20140604,0.35
20140605,-0.1
20140606,-0.23
20140609,-0.4
20140610,-0.14
20140611,0.22
20140612,-0.25
20140613,-0.09
20140616,0.11
20140617,-0.06
20140618,0.08
20140619,0.12
20140620,0.35
20140623,-0.15
20140624,-0.46
20140625,0.37
20140626,0.2
20140627,-0.12
20140630,0.08
20140701,0.23
20140702,-0.09
20140703,0.06
20140707,-0.15
20140708,-0.24
20140709,0.32
20140710,0.01
20140711,0.17
20140714,0.4
20140715,-0.5
20140716,-0.11
20140717,-0.55
20140718,0.49
20140721,0.24
20140722,0.27
20140723,-0.2
20140724,-0.15
20140725,-0.22
20140728,-0.22
20140729,-0.21
20140730,-0.13
20140731,-0.68
20140801,0.31
20140804,0.54
20140805,-0.3
20140806,-0.52
20140807,0.11
20140808,0.05
20140811,0.03
20140812,-0.04
20140813,0.77
20140814,-0.34
20140815,0.42
20140818,0.1
20140819,-0.06
20140820,0.01
