cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,szislres,szislhel,szislccd,szislaut,szislcon,szislci,szisloth,ENCERES,ENCEAUTO,ENCECON,ENCECI,ENCEOTH,ASCERES,ASCEOTH
"12504","13097","926155","1108958","TEXAS STATE BANK","Joaquin","TX","75954","3/31/2011","11/15/2020","NM","120 N. Preston","JOAQUIN BANKSHARES INC","8","0","0","4","1","Shelby","","","9/17/1926","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19693","0","256049","1132841","TEXICO STATE BANK","Texico","IL","62889","3/31/2011","11/15/2020","SM","13766 E Dix Texico Rd","TEXICO BANCSHARES CORP","1","0","0","7","0","Jefferson","","","1/1/1920","3/23/1967","3/9/2011","Stock","0","0","FED","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57704","0","3211937","4091819","TEXSTAR NATIONAL BANK","Universal City","TX","78148","3/31/2011","11/15/2020","N","600 Pat Booker Rd.","TEXSTAR BANCSHARES INC","5","0","0","4","1","Bexar","41700","San Antonio-New Braunfels, TX","1/20/2004","1/20/2004","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.texstar-bank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11475","12522","157155","1058932","THAYER COUNTY BANK","Hebron","NE","68370","3/31/2011","11/15/2020","NM","402 Lincoln Ave.","THAYER AGENCY INC","2","0","0","4","1","Thayer","","","7/1/1874","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.thayercountybank.com","0","0","0","0","0","0","0","0","0","0","0","0","414","0"
"660","0","645317","3138267","THE ADIRONDACK TRUST COMPANY","Saratoga Springs","NY","12866","3/31/2011","11/15/2020","SM","473 Broadway","ADIRONDACK TR EMPLOYEE STK OWNERSHIP TR","11","0","0","4","0","Saratoga","10580","Albany-Schenectady-Troy, NY","1/1/1901","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","http://adirondacktrust.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17652","0","359650","1063749","THE ALDEN STATE BANK","Sterling","KS","67579","3/31/2011","11/15/2020","NM","124 N. Broadway Ave.","ALDEN BANCSHARES INC","1","0","0","2","0","Rice","","","1/1/1904","8/30/1956","1/3/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.aldenst8.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17920","0","360955","2841458","THE ALTA VISTA STATE BANK","Alta Vista","KS","66834","3/31/2011","11/15/2020","NM","619 Main St","ALTA VISTA BANCSHARES INC","1","0","0","2","0","Wabaunsee","45820","Topeka, KS","6/1/1900","10/30/1958","8/9/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2312","0","287856","","THE AMERICAN BANK","Wagoner","OK","74467","3/31/2011","11/15/2020","NM","201 E. Cherokee St.","","1","0","0","2","0","Wagoner","46140","Tulsa, OK","4/24/1923","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","https://www.americanbankwagoner.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5283","0","510648","3009938","THE AMERICAN NATIONAL BANK OF BEAVER DAM","Beaver Dam","WI","53916","3/31/2011","11/15/2020","N","115 Front St.","AMERICAN NB BEAVER DAM EMPLOYEE STK OWNERSHIP TR","5","0","0","8","0","Dodge","","","6/30/1891","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","www.americanbankbd.com","0","0","0","0","0","0","0","0","0","0","0","0","657","0"
"21272","0","841436","1947045","THE AMERICAN NATIONAL BANK OF DE KALB COUNTY","Sycamore","IL","60178","3/31/2011","11/15/2020","N","1985 Dekkalb Ave.","NATIONAL BCORP INC","3","0","0","4","0","De Kalb","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/1973","10/15/1973","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
