cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"57910","0","3285246","3285219","FIRST STATE BANK","Nashua","IA","50658","9/30/2010","8/17/2020","NM","401 Main St.","FNSB BCORP CORP","1","0","0","2","0","Chickasaw","","","2/21/2005","2/21/2005","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://WWW.FSB-NASHUA.COM","15770","4009","4650","4854","2257","9340","2074","3731","2485","1050"
"15752","12733","887340","1139345","FIRST STATE BANK","Mendota","IL","61342","9/30/2010","8/17/2020","NM","706-8 Washington St.","TRI-COUNTY FINANCIAL GROUP INC","8","0","0","6","0","La Salle","","","7/6/1940","7/6/1940","7/14/2010","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","WWW.FIRSTSTATEBANK.BIZ","155819","36144","79049","37656","2970","137097","38161","64433","32896","1607"
"15321","13381","561145","1205026","FIRST STATE BANK","Webster City","IA","50595","9/30/2010","8/17/2020","NM","505-2nd St.","VAN DIEST INVESTMENT CO","5","0","0","2","0","Hamilton","","","10/15/1935","12/16/1935","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.fsbwc.com","59599","20092","28265","9578","1664","27578","11299","11506","4333","440"
"5791","11776","854847","1204887","FIRST STATE BANK","Belmond","IA","50421","9/30/2010","8/17/2020","NM","304 E. Main St.","FIRST BELMOND BCORP","1","0","0","8","0","Wright","","","7/1/1933","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://WWW.FSBBELMOND.COM","18417","6866","1975","4093","5483","3833","2304","0","1126","403"
"17950","0","796152","2344650","FIRST STATE BANK","Clute","TX","77531","9/30/2010","8/17/2020","NM","200 N. Hwy. 228","FSB BANCSHARES INC","3","0","0","4","0","Brazoria","26420","Houston-The Woodlands-Sugar Land, TX","10/16/1958","1/2/1959","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.bankatfsb.com","13367","2734","7757","2403","473","19457","3918","13595","1807","137"
"18987","0","454340","1134797","FIRST STATE BANK","Crossett","AR","71635","9/30/2010","8/17/2020","NM","200 Pine St.","EVERGREEN BANCSHARES INC","3","0","0","8","0","Ashley","","","1/9/1964","1/9/1964","3/10/2008","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","","8826","3004","4366","1456","0","10647","2558","4237","3852","0"
"15539","0","917050","1123858","FIRST STATE BANK","Buxton","ND","58218","9/30/2010","8/17/2020","NM","425 Broadway","FULL SERVICE INS AGENCY INC","3","0","0","2","1","Traill","","","1/1/1885","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.firststatebanks.com","36712","6380","12327","3268","14738","27319","8837","13368","3813","1301"
"13868","13872","499453","1056581","FIRST STATE BANK","Lincoln","NE","68516","9/30/2010","8/17/2020","SM","4915 Old Cheney Rd.","WILBER CO","18","0","0","2","1","Lancaster","30700","Lincoln, NE","12/12/1912","2/10/1934","5/1/2010","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","http://www.1fsb.bank","86790","15528","40113","23505","7644","41102","6732","23176","8262","2932"
"15511","0","435750","1132243","FIRST STATE BANK","Gainesville","TX","76240","9/30/2010","8/17/2020","NM","801 E. California St.","RED RIVER BCORP INC","10","0","0","4","1","Cooke","","","8/16/1905","7/9/1937","5/7/2008","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.firststate.bank","61864","15545","38990","6853","476","70324","25247","36663","8112","302"
"9502","14489","722227","","FIRST STATE BANK","Danville","VA","24543","9/30/2010","8/17/2020","NM","201 N. Union St.","","1","0","0","4","0","Danville City","","","9/8/1919","1/1/1934","4/16/2010","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.movementbank.com","11467","3039","6244","1526","658","13746","573","11321","1405","447"
"9437","0","294023","2376941","FIRST STATE BANK","Winchester","OH","45697","9/30/2010","8/17/2020","NM","19230 State Rt. 136","FIRST STATE BCORP INC","8","0","0","8","0","Adams","","","1/1/1934","1/1/1934","4/11/2008","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","http://www.fsb4me.com","56947","10722","28397","11411","6418","21107","2887","9864","5788","2568"
"17639","13449","1155","1247231","FIRST STATE BANK & TRUST COMPANY","Fremont","NE","68025","9/30/2010","8/17/2020","NM","1005 E. 23rd St.","FIRST STATE FREMONT INC","4","0","0","4","1","Dodge","","","7/30/1956","7/30/1956","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","www.fsbtfremont.bank","52028","28947","14400","6305","2376","29582","13506","11358","3095","1623"
"10159","13379","144856","2387152","FIRST STATE BANK AND TRUST","Bayport","MN","55003","9/30/2010","8/17/2020","NM","950 N. Hwy. 95","UNIVERSAL FINL SERVICES INC","4","0","0","5","1","Washington","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/1/1914","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","https://www.fsbt.com","35186","8775","11833","11776","2802","39424","8060","12410","16978","1976"
"14974","13697","605656","1059340","FIRST STATE BANK AND TRUST","Tonganoxie","KS","66086","9/30/2010","8/17/2020","NM","400 Bury St.","TONGANOXIE BANKSHARES INC","9","0","0","4","0","Leavenworth","28140","Kansas City, MO-KS","12/22/1934","1/8/1935","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.firststateks.com","69676","13800","30994","16643","8239","34746","7653","15765","8034","3294"
